,,Salary,Salary,Salary,Salary,Salary,Salary
Rk,Team,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
1,Portland Trail Blazers,$145648697,$97158442,$64849487,$54265977,$53594429,$54250000
2,Golden State Warriors,$141326724,$126146816,$133435678,$77809910,$43219440,
3,Houston Rockets,$139635538,$140192814,$128475037,$132812058,$20917902,
4,Miami Heat,$136064774,$107622548,$60017685,$43375416,,
5,Detroit Pistons,$134436999,$102284078,$42570708,$5539771,,
6,Milwaukee Bucks,$134069576,$134094363,$86685346,$71230252,$40396552,
7,Oklahoma City Thunder,$133785282,$104070305,$55866844,$5263829,,
8,Cleveland Cavaliers,$133025217,$64221173,$61207566,$55375883,,
9,Denver Nuggets,$131770084,$78745708,$72913922,$32478837,,
10,Washington Wizards,$131195434,$100467561,$68392045,$53135188,,
11,Los Angeles Clippers,$130354014,$117589619,$114188103,$13372683,,
12,Brooklyn Nets,$129957987,$128109213,$122775441,$107900288,,
13,Orlando Magic,$129091508,$120214761,$76234967,$33500000,,
14,Philadelphia 76ers,$127602914,$148833398,$149217144,$138906774,$77235517,$38610000
15,Memphis Grizzlies,$126488693,$66182256,$57024845,$16463360,,
16,Toronto Raptors,$126265916,$30832917,$15180570,,,
17,Minnesota Timberwolves,$126147756,$106047553,$93883961,$79090425,$35970000,
18,Charlotte Hornets,$123337481,$77931613,$29324497,$5808435,,
19,San Antonio Spurs,$123332253,$104120194,$16552696,$8430008,,
20,Los Angeles Lakers,$122856068,$119476054,$45992273,,,
21,Boston Celtics,$122419267,$115938839,$62315099,$49617376,$92857,
22,Phoenix Suns,$120814820,$91731595,$78044717,$45828637,$35970000,
23,Dallas Mavericks,$118759046,$107452790,$85872032,$65137036,$36016200,
24,Utah Jazz,$118200421,$120941442,$25830484,$19550000,,
25,New Orleans Pelicans,$116602911,$83201113,$46363160,$25347462,,
26,Indiana Pacers,$114708526,$106818718,$74534351,$45365339,,
27,Chicago Bulls,$114665634,$106082586,$65249867,$9344636,,
28,New York Knicks,$113203706,$99632325,$44286242,$10900635,,
29,Sacramento Kings,$110472961,$99366095,$61036997,$23526786,,
30,Atlanta Hawks,$104752780,$33369003,$26808009,$15790335,,